company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age
c:10093,software,USA,California,45000.0,1,0.0,,1.0,,,,,,False,False,False,5114.0
c:100938,news,other,other,1311171.6667,3,0.6667,,2.0,1.0,,,,,False,False,False,3562.0
c:10098,software,USA,other,280000.0,1,0.0,,1.0,,,,,1.0,False,False,False,2441.0
c:101,games_video,other,other,5000000.0,1,1.0,1.0,1.0,,,,,,False,False,True,2710.0
c:1010,ecommerce,USA,other,9280000.0,5,2.8,2.0,1.0,,12.0,,2.0,18.0,False,False,False,2922.0
c:101052,government,USA,other,91250.0,2,4.0,,1.0,,,,,,False,False,False,1337.0
c:101094,ecommerce,USA,other,4815940.0,2,0.5,,1.0,,1.0,,,3.0,False,False,False,2192.0
c:101102,ecommerce,USA,other,,1,0.0,,1.0,,,,,,False,False,False,4567.0
c:10111,mobile,other,other,8000000.0,2,3.0,2.0,1.0,,,,1.0,1.0,False,False,False,1979.0
c:10116,web,other,other,1613875.0,1,1.0,,1.0,,,,,,False,False,True,2589.0
,,other,other,500000.0,1,1.0,,,,,,,,False,False,False,
c:10120,software,other,other,15386014.5,2,1.5,,1.0,1.0,,,,3.0,False,False,False,5479.0
c:10125,web,USA,other,,1,0.0,,1.0,,,,,,False,False,False,2101.0
c:101271,other,other,other,720000.0,1,0.0,,1.0,,1.0,,,,False,False,False,1767.0
c:10129,web,USA,other,4350000.0,2,0.5,,1.0,,,,,3.0,False,False,False,2557.0
c:101312,web,USA,other,2000000.0,3,2.0,,1.0,,2.0,,,4.0,False,True,False,840.0
c:101317,mobile,USA,other,1089333.3333,3,6.0,,1.0,,1.0,,2.0,5.0,False,False,False,1006.0
c:10132,security,USA,other,8500000.0,1,2.0,,1.0,,1.0,,,3.0,False,False,False,6209.0
c:101340,enterprise,USA,California,250000.0,1,0.0,,1.0,,,,,,False,True,False,353.0
c:10137,software,USA,other,436666.6667,3,6.0,,1.0,,3.0,,2.0,5.0,False,True,False,1581.0
c:10139,enterprise,USA,other,22462525.0,2,0.5,,1.0,,2.0,,,6.0,False,True,False,5204.0
c:101449,finance,other,other,22000000.0,1,1.0,,,,,,,,False,False,False,
c:10146,web,USA,California,800000.0,1,0.0,2.0,2.0,,,,2.0,1.0,False,False,False,2010.0
c:101463,enterprise,USA,California,,1,1.0,,1.0,,,,,1.0,False,False,False,
c:101472,advertising,other,other,1300000.0,1,1.0,,,,,,,,False,False,False,
c:101481,hardware,USA,California,6000000.0,1,4.0,,1.0,,,,,,False,False,False,
c:101511,biotech,USA,other,10200000.0,1,3.0,,1.0,,,,,,False,False,False,4748.0
c:101519,hardware,USA,other,274999.0,1,0.0,,1.0,,,,,2.0,False,True,False,
c:101527,advertising,USA,other,1600000.0,1,1.0,,1.0,,,,,,False,False,False,
c:10153,network_hosting,USA,other,205000.0,1,1.0,1.0,1.0,,,,1.0,1.0,False,False,True,2661.0
c:101530,biotech,USA,other,,1,1.0,,1.0,,1.0,,,1.0,False,False,False,
c:101535,finance,other,other,13800000.0,1,2.0,,1.0,,,,,,False,False,False,2192.0
c:10155,advertising,USA,California,1000000.0,1,6.0,,1.0,,,,,4.0,False,False,False,2161.0
,,other,other,10200000.0,1,0.0,,,,,,,,False,False,False,
c:10158,photo_video,USA,other,5095471.6667,3,0.6667,,1.0,,,,,1.0,False,True,False,1120.0
c:10159,advertising,USA,California,9000000.0,3,2.0,,1.0,,5.0,,,14.0,False,False,False,2557.0
c:10161,advertising,USA,other,9392665.75,5,2.2,,1.0,,1.0,,,3.0,False,False,False,3287.0
c:10164,advertising,other,other,1750000.0,2,0.5,2.0,1.0,,,,1.0,3.0,False,False,False,1767.0
c:10169,security,USA,California,250000.0,1,1.0,,1.0,,,,,,False,False,True,
c:1017,enterprise,USA,California,,1,0.0,3.0,1.0,,,,,1.0,False,True,False,2327.0
c:10170,hardware,USA,California,28000000.0,1,10.0,,1.0,,1.0,1.0,,4.0,False,True,False,
c:10174,software,USA,other,230000.0,1,0.0,,1.0,,,,,,False,False,False,2618.0
c:10175,software,USA,California,375000.0,1,0.0,1.0,1.0,,,,,,False,False,True,2614.0
c:101759,software,other,other,450000.0,1,1.0,,1.0,,,,,,False,False,False,1675.0
c:10176,enterprise,USA,California,28400000.0,5,5.2,,2.0,1.0,9.0,,3.0,26.0,False,True,False,1384.0
c:10179,web,USA,California,4743332.6667,3,2.0,,1.0,,5.0,2.0,2.0,14.0,False,True,False,1713.0
c:10180,web,USA,California,500000.0,1,0.0,,1.0,,,,,3.0,False,False,False,2345.0
c:101837,finance,USA,other,100000.0,1,1.0,1.0,1.0,,,,,1.0,False,False,False,1037.0
c:10184,other,other,other,13125750.0,2,1.0,,2.0,,,,,,False,False,False,
c:101859,photo_video,other,other,15000.0,1,0.0,,,,,,,,False,False,True,962.0
c:101880,software,USA,other,,1,1.0,,1.0,,,,,2.0,False,False,False,
c:101893,software,USA,other,13550000.0,2,2.5,,1.0,,,,,1.0,False,False,False,2161.0
c:1019,mobile,other,other,14433950.0,4,3.5,2.0,1.0,,12.0,1.0,6.0,35.0,False,False,False,2886.0
c:10194,games_video,USA,other,,1,0.0,2.0,2.0,,,,,,False,False,True,2018.0
c:10197,web,USA,California,12150000.0,2,2.5,,1.0,,2.0,,,3.0,False,True,False,2065.0
c:10199,travel,USA,other,875000.0,2,0.5,,1.0,1.0,,,,,False,True,False,1494.0
c:1020,web,USA,California,5966666.6667,3,1.6667,1.0,1.0,,2.0,,1.0,6.0,False,False,False,5479.0
c:10200,software,USA,other,2780000.0,5,2.2,,1.0,,,,,3.0,False,True,False,3565.0
c:10204,software,USA,California,,2,1.5,2.0,1.0,,,,,4.0,False,True,False,
c:1021,games_video,USA,other,,1,2.0,1.0,1.0,,,,,,False,False,True,2526.0
c:1022,ecommerce,USA,other,,1,3.0,1.0,1.0,,1.0,,,1.0,False,False,True,2526.0
c:10226,web,USA,California,150000.0,1,2.0,,1.0,,,,,1.0,False,False,False,2557.0
c:102294,search,USA,other,325000.0,2,0.0,,2.0,,1.0,1.0,1.0,6.0,False,False,False,
c:102396,web,USA,other,75000.0,1,2.0,,1.0,,,,,,False,False,False,945.0
c:10241,public_relations,USA,other,41000000.0,1,1.0,,2.0,1.0,5.0,,,14.0,False,True,False,5213.0
c:102413,social,USA,other,3000000.0,1,0.0,,1.0,,,,,,False,False,True,1506.0
c:102425,medical,USA,other,2943304.6667,3,0.0,,1.0,,2.0,,,6.0,False,False,False,2557.0
c:102447,software,USA,California,13600000.0,2,4.0,,1.0,,2.0,,,5.0,False,False,False,945.0
c:102449,enterprise,USA,California,1874982.0,2,0.5,,4.0,,,,,2.0,False,False,False,
c:102468,enterprise,USA,California,16000000.0,1,1.0,,1.0,,1.0,1.0,,2.0,False,False,False,5114.0
c:102491,medical,other,other,518901.5,2,0.5,,1.0,,,,,,False,False,False,
c:102497,analytics,USA,other,30000000.0,2,1.0,,1.0,1.0,2.0,,3.0,15.0,False,False,False,5114.0
c:10252,mobile,USA,California,1100000.0,1,8.0,1.0,1.0,,,,,3.0,False,True,False,947.0
c:10253,network_hosting,other,other,5586995.8333,6,1.3333,,1.0,1.0,,,,,False,True,False,6238.0
c:10256,enterprise,USA,other,4107500.0,3,1.3333,5.0,1.0,,2.0,,,5.0,False,False,False,5114.0
c:1027,games_video,other,other,900000.0,1,7.0,1.0,1.0,,,,,6.0,False,False,False,
c:10272,transportation,USA,California,50228571.4286,7,4.0,,5.0,2.0,9.0,1.0,2.0,23.0,False,False,False,3287.0
c:10273,software,USA,California,225000.0,1,1.0,1.0,1.0,,,,,5.0,False,True,False,1218.0
c:102774,ecommerce,other,other,26752221.0,2,2.0,,1.0,1.0,,,,1.0,False,False,False,915.0
c:102783,transportation,USA,other,50000.0,1,0.0,,1.0,,,,,3.0,False,False,False,2040.0
c:1028,hardware,USA,other,,1,0.0,1.0,1.0,,,,,,False,False,False,2557.0
c:102836,software,USA,other,3683500.0,4,3.5,,4.0,1.0,,,,3.0,False,False,False,4352.0
c:102849,,USA,other,125000000.0,1,0.0,,1.0,,,,,1.0,False,True,False,
c:102867,travel,USA,other,1200000.0,1,5.0,1.0,1.0,,4.0,,2.0,6.0,False,True,False,731.0
c:102898,hospitality,USA,other,,1,13.0,,1.0,,1.0,,,6.0,False,False,True,1826.0
,,other,other,1000000.0,1,0.0,,,,,,,,False,False,False,
c:102922,ecommerce,other,other,138000.0,1,5.0,8.0,2.0,,,,,2.0,False,False,True,997.0
c:102933,advertising,USA,other,,1,1.0,,1.0,,,,,,False,False,True,1249.0
c:10295,hospitality,USA,other,650000.0,2,0.5,,1.0,,1.0,,,,False,False,False,2161.0
c:103,games_video,USA,California,9000000.0,4,1.25,2.0,1.0,,3.0,,2.0,9.0,False,False,False,2498.0
c:1030,web,other,other,,1,1.0,,1.0,,,,,,False,True,False,1826.0
c:103016,cleantech,other,other,9000000.0,1,2.0,,1.0,,,,,2.0,False,False,False,
c:10308,web,USA,other,150000.0,1,0.0,1.0,1.0,,,,,1.0,False,False,True,2001.0
,,other,other,80000.0,1,0.0,,,,,,,,False,False,False,
c:10311,games_video,other,other,3000000.0,1,0.0,,4.0,,,,,2.0,False,False,False,2192.0
c:103155,finance,USA,other,1079000.0,5,2.2,,1.0,,1.0,,,1.0,False,False,False,966.0
c:103204,mobile,USA,California,21189.0,2,1.0,,1.0,,2.0,,,2.0,False,False,True,1096.0
c:103233,analytics,USA,California,16102563.2,5,2.6,1.0,1.0,1.0,,,1.0,1.0,False,False,False,2891.0
c:103292,transportation,USA,other,917500.0,2,1.5,,1.0,,2.0,,,7.0,False,False,False,1096.0
c:10331,software,USA,California,1000000.0,1,0.0,,1.0,,1.0,,,1.0,False,False,False,5844.0
c:103323,mobile,USA,California,895000.0,1,2.0,,2.0,,,,,1.0,False,False,False,823.0
c:103388,web,other,other,2375000.0,2,0.5,,,,,,,3.0,False,False,False,3684.0
c:103477,photo_video,USA,other,77500.0,2,0.0,2.0,1.0,,,,,,False,False,False,884.0
c:10351,public_relations,USA,California,420654.5,4,0.25,,1.0,,1.0,,,2.0,False,False,False,2314.0
c:103561,biotech,other,other,1080799.6667,3,3.0,,2.0,,,,,,False,False,False,2496.0
c:103697,software,USA,other,1616176.0,1,0.0,,1.0,,,,,4.0,False,False,False,3653.0
c:10376,web,USA,California,7385000.0,4,2.0,5.0,4.0,1.0,5.0,,1.0,13.0,False,False,False,2101.0
c:10378,other,USA,other,50000.0,1,0.0,,2.0,,,,,,False,False,True,2380.0
c:103791,analytics,USA,other,825000.0,3,8.0,1.0,1.0,,,,,,False,False,False,1307.0
c:1038,advertising,USA,California,8571428.5714,7,3.0,2.0,5.0,4.0,3.0,,1.0,14.0,False,False,False,2437.0
c:103903,medical,other,other,952578.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
c:10392,advertising,USA,other,6625000.0,2,2.0,,2.0,,1.0,,1.0,3.0,False,True,False,2806.0
c:10393,web,USA,California,509412.0,1,0.0,,1.0,,1.0,,,1.0,False,True,False,476.0
c:103935,social,other,other,,1,1.0,,1.0,,1.0,1.0,1.0,3.0,False,False,False,
c:10396,games_video,other,other,7385500.0,1,1.0,,1.0,,2.0,,,4.0,False,False,False,2922.0
c:10398,web,USA,California,6050000.0,2,1.0,,1.0,,,,,9.0,False,False,True,3287.0
c:10399,enterprise,USA,other,6457727.0,4,3.0,,1.0,,5.0,,,8.0,False,False,False,2953.0
c:10400,web,other,other,,1,0.0,3.0,2.0,,,,,,False,False,False,2522.0
c:104013,web,USA,other,,1,0.0,,1.0,,1.0,,,3.0,False,False,False,1142.0
c:10402,mobile,other,other,109018.0,1,0.0,,1.0,,,,,1.0,False,False,False,2101.0
c:104057,medical,USA,other,,1,0.0,,1.0,,,,,2.0,False,False,False,1522.0
c:104068,security,USA,other,1700000.0,1,0.0,,1.0,,,2.0,3.0,5.0,False,False,False,487.0
c:10407,games_video,other,other,,1,0.0,,1.0,,,,,,False,False,True,2520.0
c:104093,enterprise,USA,California,6500000.0,4,3.25,,1.0,,,,1.0,1.0,False,False,False,1096.0
c:104103,ecommerce,other,other,900000.0,1,0.0,,1.0,,,,,,False,False,False,947.0
c:104132,games_video,USA,California,50000.0,1,0.0,,1.0,,,,,,False,False,False,
c:104138,advertising,USA,other,50000.0,1,0.0,,1.0,1.0,,,,,False,False,False,2178.0
c:104160,ecommerce,other,other,,1,1.0,,,,,,,,False,False,False,
c:104193,security,USA,other,,1,1.0,,1.0,,,,,4.0,False,True,False,2635.0
c:104193,security,USA,other,,1,1.0,,1.0,,,,,4.0,False,True,False,4917.0
c:104196,biotech,USA,other,18664050.0,1,0.0,,1.0,,,,,,False,True,False,5733.0
c:1042,web,USA,California,2000000.0,2,1.0,3.0,1.0,,1.0,,,,False,True,False,1627.0
c:104201,games_video,other,other,25000.0,1,0.0,,,,,,1.0,1.0,False,False,False,1113.0
c:10421,,other,other,750000.0,1,1.0,,,,,,,4.0,False,True,False,
c:104224,ecommerce,USA,California,8700000.0,1,1.0,1.0,1.0,,,,,6.0,False,False,False,1601.0
c:10424,health,USA,other,3836666.6667,3,2.6667,,1.0,,2.0,,1.0,2.0,False,False,False,2192.0
c:10427,web,USA,other,,1,0.0,,1.0,,,,,,False,True,False,1501.0
c:1043,mobile,USA,other,3216666.6667,3,2.6667,4.0,1.0,,3.0,,,6.0,False,True,False,3648.0
c:10430,software,USA,other,8000000.0,1,3.0,,1.0,,,,,2.0,False,False,False,3653.0
c:104303,other,other,other,,1,1.0,,1.0,,,,,,False,False,False,1758.0
c:104305,,USA,other,,1,1.0,,1.0,,1.0,,1.0,2.0,False,False,False,
c:104321,education,USA,other,4000000.0,1,0.0,3.0,1.0,,,,,,False,False,False,3876.0
c:10436,enterprise,other,other,20000.0,1,0.0,,1.0,,,,,,False,False,False,2406.0
c:104377,advertising,USA,other,19400000.0,8,2.5,,4.0,2.0,4.0,,1.0,16.0,True,False,False,3287.0
c:104393,advertising,other,other,2847042.5,2,1.5,1.0,1.0,,,,,,False,False,False,1492.0
c:104413,finance,other,other,,1,1.0,,2.0,,,,,,False,False,False,877.0
c:104452,mobile,USA,California,1200000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
c:10452,advertising,USA,other,1957500.0,2,1.5,,2.0,,2.0,,2.0,8.0,False,True,False,1461.0
c:104538,games_video,other,other,811057.0,1,0.0,,1.0,,,,,,False,False,False,2557.0
c:104546,advertising,other,other,,1,1.0,,1.0,,1.0,,,1.0,False,False,False,
c:104557,advertising,USA,other,1200000.0,1,2.0,,1.0,,1.0,,,2.0,False,False,False,
c:104568,mobile,USA,California,15000.0,1,1.0,,1.0,,,,,,False,False,False,1419.0
c:104587,finance,USA,other,1500000.0,1,4.0,,1.0,,,,,,False,False,False,
c:104594,transportation,USA,California,7000000.0,1,0.0,,1.0,,,,,2.0,False,False,False,
c:104598,medical,USA,other,6060000.0,2,1.5,,1.0,,1.0,,,2.0,False,False,False,
c:104601,biotech,other,other,39843400.0,1,4.0,,1.0,,1.0,1.0,1.0,3.0,False,False,False,
c:104603,software,USA,other,13000000.0,1,3.0,,1.0,,1.0,,,1.0,False,False,False,
c:104607,software,USA,other,21400000.0,2,1.0,,1.0,,1.0,,,1.0,False,False,False,
c:104610,biotech,USA,other,2000000.0,1,0.0,,1.0,,,,,,False,False,False,
c:104636,web,other,other,57000.0,1,7.0,,1.0,,,,,2.0,False,False,False,1218.0
c:1047,web,USA,other,250000.0,1,0.0,,2.0,,,,,1.0,False,True,False,2498.0
c:104739,social,USA,California,100000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
c:10475,biotech,USA,other,100000.0,1,0.0,,1.0,7.0,21.0,10.0,9.0,73.0,True,False,False,8401.0
c:104753,web,USA,other,2454.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
c:104788,ecommerce,other,other,,1,4.0,,,,,,,1.0,False,False,True,945.0
c:1048,network_hosting,USA,California,650000.0,1,1.0,1.0,1.0,,,,,3.0,False,False,True,
c:10480,web,USA,California,5300000.0,2,3.0,,1.0,,,,,1.0,False,True,False,991.0
c:104815,software,USA,other,7843200.0,1,2.0,,2.0,,,,,,False,False,False,4748.0
c:104837,software,other,other,100000.0,1,1.0,,1.0,,,,,,False,False,False,1371.0
c:104861,software,other,other,769744.3333,3,0.0,,1.0,,,,,,False,False,False,5114.0
c:1049,web,USA,California,200000.0,1,0.0,2.0,1.0,,,,,1.0,False,False,True,2771.0
c:104908,mobile,USA,California,4000000.0,1,5.0,,1.0,,3.0,,1.0,3.0,False,False,False,1461.0
c:104947,health,USA,other,2300000.0,1,2.0,,1.0,,,,,,False,False,False,
c:104971,manufacturing,USA,other,2600000.0,3,1.3333,,1.0,,1.0,,,1.0,False,False,False,2922.0
c:104980,web,other,other,533333.3333,3,1.0,,3.0,,,,,,False,False,False,1386.0
c:104981,mobile,other,other,35000.0,1,1.0,,1.0,,,,,,False,False,False,1188.0
c:104983,web,other,other,165000.0,1,1.0,,1.0,,,,,,False,False,False,1096.0
c:104984,mobile,other,other,20000.0,1,1.0,,1.0,,,,,,False,False,False,2922.0
c:105,web,USA,other,1750000.0,2,5.5,1.0,3.0,,4.0,,1.0,16.0,False,True,False,1035.0
c:105002,software,NZL,other,,5,0.2,,2.0,,,,,3.0,False,False,False,3106.0
c:105005,web,USA,California,,1,1.0,,1.0,,,,,,False,False,True,1096.0
c:105008,advertising,other,other,7172876.5,2,1.5,,6.0,,,,,,False,False,False,2379.0
c:105075,medical,other,other,6321095.0,1,2.0,,1.0,,,,,,False,False,False,2192.0
c:1051,games_video,USA,other,8015283.0,3,1.0,,1.0,,1.0,,,1.0,False,False,False,3287.0
c:10511,web,other,other,,1,1.0,,1.0,,1.0,,,1.0,False,False,False,5114.0
c:10512,software,USA,California,8969462.6667,6,3.3333,,8.0,,2.0,,2.0,8.0,False,True,False,2369.0
c:105168,social,USA,other,3666666.6667,3,0.6667,,1.0,,1.0,,,2.0,False,False,False,1696.0
c:105174,web,USA,other,4000000.0,1,1.0,,1.0,,,,,,False,False,False,1341.0
c:10521,ecommerce,USA,California,160000.0,1,0.0,,1.0,,1.0,,,,False,False,False,2557.0
c:105217,enterprise,USA,other,500000.0,1,1.0,1.0,1.0,,,,,1.0,False,False,False,2270.0
c:105243,software,USA,other,48501.0,1,4.0,1.0,1.0,,,,,3.0,False,False,False,885.0
c:10526,network_hosting,USA,California,11300000.0,2,3.5,,1.0,,1.0,,,2.0,False,False,False,3653.0
c:10527,finance,other,other,1011721.0,4,0.25,1.0,,,1.0,,,2.0,False,True,False,1816.0
c:10529,network_hosting,USA,other,100000.0,1,1.0,,1.0,,,,,,False,False,False,3287.0
c:1053,web,USA,California,4666666.6667,3,1.6667,1.0,1.0,1.0,2.0,1.0,,6.0,False,True,False,1519.0
c:105305,biotech,USA,California,1182500.0,2,2.0,,1.0,,,,,,False,False,False,2192.0
c:105315,games_video,other,other,5000000.0,1,2.0,,1.0,,1.0,,,4.0,False,False,False,
c:10533,mobile,other,other,750000.0,1,2.0,1.0,1.0,,,,,5.0,False,False,False,1461.0
c:105386,ecommerce,other,other,4500000.0,1,0.0,,1.0,,,,,,False,False,False,6575.0
c:1054,sports,USA,other,1008401.0,3,0.3333,,1.0,,1.0,,,5.0,False,False,False,2922.0
c:105414,software,USA,other,2903018.5,2,0.5,,1.0,,,,,1.0,False,False,False,2557.0
c:10542,mobile,other,other,1500000.0,1,1.0,,1.0,,,,,,False,False,False,2003.0
c:105426,nonprofit,USA,California,50000.0,2,0.0,,2.0,,,,,,False,False,False,1006.0
c:10544,web,USA,California,13530000.0,6,3.0,,1.0,4.0,4.0,,1.0,15.0,False,False,False,2922.0
c:105467,ecommerce,USA,other,,1,3.0,,2.0,,,,1.0,,False,False,False,945.0
c:105499,biotech,USA,California,21000000.0,2,1.5,,1.0,,3.0,3.0,2.0,7.0,False,False,False,884.0
c:10550,enterprise,USA,California,10000000.0,1,0.0,2.0,1.0,1.0,,,1.0,4.0,False,False,False,2557.0
c:105504,finance,USA,other,7500000.0,1,0.0,,1.0,,1.0,,,4.0,False,False,False,
,,other,other,,1,1.0,,,,,,,,False,False,False,
c:105519,search,USA,other,500000.0,1,4.0,,1.0,,,,,1.0,False,True,False,990.0
c:105587,biotech,USA,other,7500000.0,1,1.0,,1.0,,1.0,,,1.0,False,False,False,
c:105592,news,USA,other,22500000.0,1,1.0,,1.0,,,,,,False,False,False,2557.0
c:1056,web,USA,California,7366666.6667,3,3.3333,1.0,1.0,,3.0,,2.0,10.0,False,False,False,2526.0
c:10560,enterprise,other,other,2500000.0,2,2.5,2.0,3.0,,2.0,1.0,1.0,1.0,False,False,False,2223.0
c:105642,travel,other,other,200000.0,1,1.0,1.0,2.0,,,,,4.0,False,False,False,915.0
c:105656,education,other,other,296384.0,1,0.0,1.0,1.0,,,,,,False,False,False,1569.0
c:10566,enterprise,USA,other,3766033.3333,3,2.0,,3.0,,,,1.0,1.0,False,False,False,3390.0
c:105687,enterprise,USA,other,5166666.6667,3,0.3333,,1.0,,,,,,False,False,False,3653.0
c:10569,mobile,USA,other,3432500.0,3,1.6667,,1.0,,,,1.0,8.0,False,False,False,2557.0
c:105699,travel,other,other,2750000.0,1,12.0,,1.0,,,,,,False,False,False,1179.0
c:10570,network_hosting,USA,other,5831500.25,4,2.5,,1.0,,1.0,,,2.0,False,False,False,2498.0
c:105704,software,USA,California,3272500.0,2,0.0,,1.0,,4.0,,,4.0,False,False,False,2192.0
c:105707,sports,USA,other,100000.0,1,0.0,,1.0,,,,,,False,False,False,869.0
c:105717,games_video,other,other,,1,1.0,,1.0,,,,,,False,False,False,1037.0
c:10574,software,other,other,4100000.0,2,1.0,,2.0,,2.0,,,2.0,False,False,False,2376.0
c:10580,web,USA,California,6000000.0,1,2.0,,3.0,,,,,1.0,False,False,False,
c:10581,web,USA,California,4000000.0,1,3.0,,1.0,1.0,2.0,,,12.0,False,True,False,1294.0
c:10583,fashion,USA,other,8666668.6667,3,1.0,,1.0,,,,1.0,1.0,False,False,False,3653.0
c:105834,finance,other,other,,1,1.0,,1.0,,1.0,,,4.0,False,False,False,1094.0
c:105893,ecommerce,USA,California,700000.0,1,0.0,,1.0,,1.0,,,1.0,False,False,False,853.0
c:105927,finance,other,other,15000000.0,1,1.0,,1.0,,,,,,False,False,False,
c:106,messaging,USA,other,10670000.0,5,1.0,5.0,1.0,1.0,5.0,,,17.0,False,True,False,3163.0
c:106079,ecommerce,USA,other,40000000.0,3,1.0,,1.0,,1.0,,,1.0,False,False,False,2192.0
c:10608,mobile,USA,California,500000.0,1,0.0,,1.0,,,,,,False,False,False,3538.0
c:10610,mobile,USA,California,5250000.0,3,2.0,5.0,1.0,,2.0,,2.0,5.0,False,False,True,2192.0
c:106123,messaging,USA,other,250000.0,1,3.0,,1.0,,1.0,,,2.0,False,False,False,1887.0
c:10614,advertising,USA,other,4200000.0,1,5.0,8.0,1.0,4.0,2.0,,2.0,16.0,True,False,False,1614.0
c:10616,,USA,other,2350000.0,1,2.0,,1.0,,,,,,False,True,False,
c:1062,biotech,USA,California,26758315.3333,6,3.1667,,1.0,1.0,6.0,15.0,7.0,49.0,False,False,False,2832.0
c:10621,software,USA,California,3500000.0,1,1.0,,1.0,,,,,,False,False,False,3287.0
c:106222,messaging,USA,other,,1,1.0,,1.0,,,,,1.0,False,False,False,915.0
c:10623,security,other,other,,1,0.0,,1.0,,,,,,False,False,False,
c:1063,advertising,USA,California,10414285.7143,8,3.5,2.0,1.0,1.0,8.0,,7.0,26.0,True,False,False,3653.0
c:106304,software,USA,other,2000000.0,1,1.0,,1.0,,,,,2.0,False,False,False,915.0
c:106325,ecommerce,other,other,20000.0,1,0.0,,1.0,,,,,,False,True,False,637.0
c:106335,software,other,other,200000.0,1,0.0,,,,,,,,False,False,False,1078.0
c:106349,web,USA,other,5000.0,1,0.0,,1.0,,,,,,False,False,True,868.0
c:106396,travel,other,other,2200000.0,2,2.5,,1.0,,1.0,,,7.0,False,False,False,1065.0
c:10643,hardware,other,other,6500000.0,1,0.0,2.0,,,,,,,False,False,True,2192.0
c:10649,games_video,USA,other,200000.0,1,0.0,,2.0,,,,,,False,False,False,768.0
c:10652,music,USA,other,,2,1.0,,1.0,,,,,1.0,False,False,False,2192.0
c:106601,software,other,other,3456666.6667,3,0.6667,,,,,,1.0,2.0,False,False,True,
