Full Name,Primary Company,Previous startups?,Consulting before start-up,Standardized University,Standardized Major,Degree Type,Standardized Graduate Institution,Standardized Graduate Studies,Graduate Diploma,Ever served as TA/Teacher/Professor/Mentor?,Years of Employment,Worked as product manager/director/head/VP?,Worked at Google?,Worked at Microsoft?,Worked in Sales?,Stanford or Berkeley,Ivy League,Crunchbase,LinkedIn
Jeremy Johnson,Andela,2.0,0.0,Princeton University,,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jeremy-johnson,https://www.linkedin.com/in/jeremiahjohnson
David Cancel,Drift,6.0,0.0,,,,,,,1.0,10.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/david-cancel,http://www.linkedin.com/in/dcancel
Mikita Mikado,Quote Roller,0.0,0.0,Belarussian State University of Informatics and Radioelectronics,Computer Science,BA,University of Hawaii at Manoa,Computer Science,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/mikita-mikado,http://www.linkedin.com/in/mikitamikado
Kamakshi Sivaramakrishnan,Drawbridge Inc.,0.0,0.0,Boston University,Electrical Engineering,MS,Stanford University,Opreations Research,PhD,1.0,1.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/kamakshi-sivaramakrishnan,https://www.linkedin.com/in/kamakshisivaramakrishnan
Anthony Casalena,Squarespace,0.0,0.0,University of Maryland College Park,Computer Science,BS,,,,1.0,9.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/anthony-casalena,http://www.linkedin.com/in/acasalena
Davis Smith,Cotopaxi,3.0,0.0,Brigham Young University,International Relations,BA,University of Pennsylvania,Business,MBA,0.0,13.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/davis-smith,https://www.linkedin.com/in/davismsmith
Suhail Doshi,Mixpanel,0.0,0.0,Arizona State University,Computer Science,BA,,,,0.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/suhail-doshi,http://www.linkedin.com/in/suhaildoshi
Tariq Hilaly,"Lumity, Inc.",1.0,1.0,University of Missouri Saint Louis,Business,BA,Harvard University,Business,MBA,0.0,8.0,0.0,0.0,1.0,0.0,0,0,https://www.crunchbase.com/person/tariq-hilaly,https://www.linkedin.com/in/tariqhilaly
Michael Wystrach,Freshly,0.0,0.0,University of Arizona,Business,BS,,,,0.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-wystrach,https://www.linkedin.com/in/michaelwystrach/
Hovhannes Avoyan,PicsArt,3.0,0.0,State Engineering University of Armenia,Computer Science,BS,American University of Armenia,,MA,0.0,4.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/hovhannes-avoyan,http://www.linkedin.com/in/sourcio
Michael Katz,mParticle,0.0,1.0,Syracuse University,Economics,BS,,,,0.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-katz,http://www.linkedin.com/in/michaelskatz
Aakrit Vaish,Haptik,1.0,1.0,University of Illinois Urbana-Champaign,Operations Research,BS,,,,0.0,3.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/aakrit-vaish,http://in.linkedin.com/in/aakrit
Dan Teran,Managed by Q,1.0,0.0,Johns Hopkins University,International Relations,BA,,,,0.0,3.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/dan-teran,https://www.linkedin.com/in/danteran
Jay Chaudhry,Zscaler,4.0,0.0,Indian Institute Of Technology,Electrical Engineering,BE,University of Cincinnati,Business,MBA,1.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jay-chaudhry,https://www.linkedin.com/in/jaychaudhry
Alex Laats,Rekener Inc.,3.0,0.0,Massachusetts Institute of Technology,Physics,BS,Harvard University,,JD,1.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/alex-laats,http://www.linkedin.com/pub/alex-laats/0/174/948
David Vivero,Amino,3.0,0.0,Harvard University,Economics,BA,Harvard University,Business,MBA,0.0,13.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/david-vivero,http://www.linkedin.com/in/dvivero
Jim Barnett,Glint,1.0,0.0,Stanford University,Political Science,BA,Stanford University,Business,MBA,1.0,14.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/jim-barnett,http://www.linkedin.com/pub/jim-barnett/0/12/a53
Andrew Levy,Apteligent,1.0,0.0,Johns Hopkins University,Computer Science,BS,,,,0.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/andrew-levy,http://www.linkedin.com/company/crittercism
Marcin Kleczynski,Malwarebytes,0.0,0.0,University of Illinois Urbana-Champaign,,,,,,0.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/marcin-kleczynski,http://www.linkedin.com/in/marcinkleczynski
Ben Rubin,Houseparty,0.0,0.0,,,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ben-rubin,http://www.linkedin.com/pub/ben-rubin/24/b/423
Michael Buckwald,Leap Motion,1.0,0.0,George Washington University,,,,,,0.0,9.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-buckwald,http://www.linkedin.com/in/mbuckwald
Michael Wayne,Kin Community,1.0,0.0,University of the South,English,BA,,,,1.0,13.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-wayne,https://www.linkedin.com/in/michael-wayne-4b16352
Craig Walker,Dialpad,4.0,0.0,University of California Berkeley,Sociology,BA,University of California Berkeley,Law,JD,1.0,12.0,0.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/craig-walker,http://www.linkedin.com/in/cwalker123
Meron Gribetz,Meta,1.0,0.0,Columbia,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/meron-gribetz,http://www.linkedin.com/pub/meron-gribetz/3/667/25b
Justin Yoshimura,500Friends,0.0,0.0,,,,,,,1.0,6.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/justin-yoshimura,http://www.linkedin.com/profile/view?id=7014598
Seth Birnbaum,EverQuote,2.0,0.0,Massachusetts Institute of Technology,Mechanical Engineering,BS,,,,0.0,13.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/seth-birnbaum-2,https://www.linkedin.com/pub/seth-birnbaum/0/2b5/273
Tim Junio,"Qadium, Inc.",0.0,1.0,Johns Hopkins University,,BA,Stanford University,,PhD,1.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/tim-junio,https://www.linkedin.com/in/tim-junio-59b01367/
Loic Le Meur,Leade.rs,6.0,0.0,HEC,,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/loic-le-meur,http://www.linkedin.com/in/loiclemeur
Michael Laskoff,Annum Health,2.0,1.0,University of Chicago,Political Science,BA,Harvard University,Business,MBA,0.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-lackoff,http://www.linkedin.com/pub/michael-b-laskoff/1/bb/741
Andrew Filev,Wrike,1.0,0.0,,,,Saint Petersburg State University,Computer Science,MS,0.0,3.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/andrew-filev,http://www.linkedin.com/in/filev
Ori Eisen,Trusona,1.0,0.0,Bergen Community College,Business,AA,Montclair State University,Business,BA,0.0,12.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ori-eisen,https://www.linkedin.com/in/orieisen
Hicham Oudghiri,Enigma,0.0,0.0,,,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/hicham-oudghiri,
Scott Walchek,Tr�?v,3.0,0.0,University of California San Diego,,Drop,,,,0.0,8.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/scott-walchek,http://www.linkedin.com/pub/scott-walchek/54/2b8/182
Hyungseok Dino Ha,Memebox Corporation,0.0,0.0,Kyung Hee University,Engineering,BS,Parson School of Design,Business,AAS,1.0,9.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/hyungseok-dino-ha,http://www.linkedin.com/pub/hyungseok-dino-ha/21/792/325
Dan Shapiro,Glowforge,2.0,0.0,Harvey Mudd College,Engineering,BS,,,,0.0,11.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/dan-shapiro,http://www.linkedin.com/in/danshapiro
Ron Palmeri,Layer,2.0,0.0,Institut d'Etudes Politiques de Paris,,,,,,1.0,6.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/ron-palmeri,http://www.linkedin.com/in/ronpalmeri
Nick Weaver,eero,1.0,1.0,Stanford University,Operations Research,BS,,,,1.0,3.0,1.0,0.0,0.0,1.0,1,0,https://www.crunchbase.com/person/nick-weaver,https://www.linkedin.com/in/nsweaver
Stephen Russell,Prism Skylabs,2.0,0.0,Stanford University,Economics,BA,,,,0.0,14.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/stephen-russell,https://www.linkedin.com/in/thesteverussell
Alex Blumberg,Gimlet Media,0.0,0.0,Oberlin College,Political Science,BA,,,,0.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/alex-blumberg,https://www.linkedin.com/in/alexblumberg
Henry Ward,eShares,1.0,0.0,University of Michigan,Computer Science,BA,EDHEC Business School,Business,MS,0.0,6.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/henry-ward,https://www.linkedin.com/in/heward
Sue Khim,Brilliant.org,1.0,0.0,University of Chicago,Mathematics,BA,,,,1.0,6.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/sue-khim,http://www.linkedin.com/pub/suyeon-khim/14/860/70b
Munjal Shah,Health Equity Labs,0.0,0.0,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/munjal-shah,http://www.linkedin.com/in/munjalshah747
Ali Diab,Collective Health,2.0,0.0,University of Oxford,,,Stanford University,,,0.0,5.0,1.0,0.0,1.0,0.0,0,0,https://www.crunchbase.com/person/ali-diab,https://www.linkedin.com/in/alidiab
Jess Lee,Polyvore,0.0,0.0,Stanford University,Computer Science,BS,,,,0.0,11.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/jess-lee,https://www.linkedin.com/in/jesskah
Ross Bailey,Appear Here,0.0,1.0,Bury Lawn School,,,School Of Communication Art,Business,PhD,1.0,13.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/ross-bailey,http://www.linkedin.com/in/rossabailey
Ari Mir,Clutter,3.0,0.0,University of Southern California,Business,BS,,,,0.0,8.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/ari-mir,https://www.linkedin.com/in/arimir/
James Crawford,"Orbital Insight, Inc.",0.0,0.0,Rice University,,,University of Texas Austin,Computer Science,PhD,0.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/james-crawford-5,https://www.linkedin.com/in/jmcrawfordjr
Stephen Dash,Credible,1.0,0.0,University of Queensland,Business,BA,,,,0.0,12.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/stephen-dash,https://www.linkedin.com/in/stephendash/
Brit Morin,Brit + Co,0.0,0.0,University of Texas Austin,,BA,,,,0.0,2.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/brit-morin,http://www.linkedin.com/in/bbohnet
Isaac Oates,Justworks,1.0,0.0,University of Illinois Urbana-Champaign,Computer Science,BS,Cornell University,Business,MBA,1.0,6.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/isaac-oates,https://www.linkedin.com/in/ioates
Jerry Hum,Touch of Modern,1.0,0.0,Cornell University,Architecture,BA,,,,1.0,5.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jerry-hum,
Robin Chase,Zipcar,2.0,1.0,Wellesley College,English,BA,Massachusetts Institute of Technology,Business,MBA,0.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/robin-chase,http://www.linkedin.com/pub/robin-chase/2/314/38b
