#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
63,,Fighting,,65,105,60,60,70,95,1,FALSE
64,Growlithe,Fire,,55,70,45,70,50,60,1,FALSE
65,Arcanine,Fire,,90,110,80,100,80,95,1,FALSE
66,Poliwag,Water,,40,50,40,40,40,90,1,FALSE
67,Poliwhirl,Water,,65,65,65,50,50,90,1,FALSE
68,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,FALSE
69,Abra,Psychic,,25,20,15,105,55,90,1,FALSE
70,Kadabra,Psychic,,40,35,30,120,70,105,1,FALSE
71,Alakazam,Psychic,,55,50,45,135,95,120,1,FALSE
72,Mega Alakazam,Psychic,,55,50,65,175,95,150,1,FALSE
73,Machop,Fighting,,70,80,50,35,35,35,1,FALSE
74,Machoke,Fighting,,80,100,70,50,60,45,1,FALSE
75,Machamp,Fighting,,90,130,80,65,85,55,1,FALSE
76,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,FALSE
77,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,FALSE
78,Victreebel,Grass,Poison,80,105,65,100,70,70,1,FALSE
79,Tentacool,Water,Poison,40,40,35,50,100,70,1,FALSE
80,Tentacruel,Water,Poison,80,70,65,80,120,100,1,FALSE
81,Geodude,Rock,Ground,40,80,100,30,30,20,1,FALSE
82,Graveler,Rock,Ground,55,95,115,45,45,35,1,FALSE
83,Golem,Rock,Ground,80,120,130,55,65,45,1,FALSE
84,Ponyta,Fire,,50,85,55,65,65,90,1,FALSE
85,Rapidash,Fire,,65,100,70,80,80,105,1,FALSE
86,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,FALSE
87,Slowbro,Water,Psychic,95,75,110,100,80,30,1,FALSE
88,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,1,FALSE
89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,FALSE
90,Magneton,Electric,Steel,50,60,95,120,70,70,1,FALSE
91,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,FALSE
92,Doduo,Normal,Flying,35,85,45,35,35,75,1,FALSE
93,Dodrio,Normal,Flying,60,110,70,60,60,100,1,FALSE
94,Seel,Water,,65,45,55,45,70,45,1,FALSE
95,Dewgong,Water,Ice,90,70,80,70,95,70,1,FALSE
96,Grimer,Poison,,80,80,50,40,50,25,1,FALSE
97,Muk,Poison,,105,105,75,65,100,50,1,FALSE
98,Shellder,Water,,30,65,100,45,25,40,1,FALSE
99,Cloyster,Water,Ice,50,95,180,85,45,70,1,FALSE
100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,FALSE
101,Haunter,Ghost,Poison,45,50,45,115,55,95,1,FALSE
102,Gengar,Ghost,Poison,60,65,60,130,75,110,1,FALSE
103,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,1,FALSE
104,Onix,Rock,Ground,35,45,160,30,45,70,1,FALSE
105,Drowzee,Psychic,,60,48,45,43,90,42,1,FALSE
106,Hypno,Psychic,,85,73,70,73,115,67,1,FALSE
107,Krabby,Water,,30,105,90,25,25,50,1,FALSE
108,Kingler,Water,,55,130,115,50,50,75,1,FALSE
109,Voltorb,Electric,,40,30,50,55,55,100,1,FALSE
110,Electrode,Electric,,60,50,70,80,80,140,1,FALSE
111,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,FALSE
112,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,FALSE
113,Cubone,Ground,,50,50,95,40,50,35,1,FALSE
114,Marowak,Ground,,60,80,110,50,80,45,1,FALSE
115,Hitmonlee,Fighting,,50,120,53,35,110,87,1,FALSE
116,Hitmonchan,Fighting,,50,105,79,35,110,76,1,FALSE
117,Lickitung,Normal,,90,55,75,60,75,30,1,FALSE
118,Koffing,Poison,,40,65,95,60,45,35,1,FALSE
119,Weezing,Poison,,65,90,120,85,70,60,1,FALSE
120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,FALSE
121,Rhydon,Ground,Rock,105,130,120,45,45,40,1,FALSE
122,Chansey,Normal,,250,5,5,35,105,50,1,FALSE
123,Tangela,Grass,,65,55,115,100,40,60,1,FALSE
124,Kangaskhan,Normal,,105,95,80,40,80,90,1,FALSE
125,Mega Kangaskhan,Normal,,105,125,100,60,100,100,1,FALSE
126,Horsea,Water,,30,40,70,70,25,60,1,FALSE
127,Seadra,Water,,55,65,95,95,45,85,1,FALSE
128,Goldeen,Water,,45,67,60,35,50,63,1,FALSE
129,Seaking,Water,,80,92,65,65,80,68,1,FALSE
130,Staryu,Water,,30,45,55,70,55,85,1,FALSE
131,Starmie,Water,Psychic,60,75,85,100,85,115,1,FALSE
132,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,FALSE
133,Scyther,Bug,Flying,70,110,80,55,80,105,1,FALSE
134,Jynx,Ice,Psychic,65,50,35,115,95,95,1,FALSE
135,Electabuzz,Electric,,65,83,57,95,85,105,1,FALSE
136,Magmar,Fire,,65,95,57,100,85,93,1,FALSE
137,Pinsir,Bug,,65,125,100,55,70,85,1,FALSE
138,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,1,FALSE
139,Tauros,Normal,,75,100,95,40,70,110,1,FALSE
140,Magikarp,Water,,20,10,55,15,20,80,1,FALSE
141,Gyarados,Water,Flying,95,125,79,60,100,81,1,FALSE
142,Mega Gyarados,Water,Dark,95,155,109,70,130,81,1,FALSE
143,Lapras,Water,Ice,130,85,80,85,95,60,1,FALSE
144,Ditto,Normal,,48,48,48,48,48,48,1,FALSE
145,Eevee,Normal,,55,55,50,45,65,55,1,FALSE
146,Vaporeon,Water,,130,65,60,110,95,65,1,FALSE
147,Jolteon,Electric,,65,65,60,110,95,130,1,FALSE
148,Flareon,Fire,,65,130,60,95,110,65,1,FALSE
149,Porygon,Normal,,65,60,70,85,75,40,1,FALSE
150,Omanyte,Rock,Water,35,40,100,90,55,35,1,FALSE
151,Omastar,Rock,Water,70,60,125,115,70,55,1,FALSE
152,Kabuto,Rock,Water,30,80,90,55,45,55,1,FALSE
153,Kabutops,Rock,Water,60,115,105,65,70,80,1,FALSE
154,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,FALSE
155,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,FALSE
156,Snorlax,Normal,,160,110,65,65,110,30,1,FALSE
157,Articuno,Ice,Flying,90,85,100,95,125,85,1,TRUE
158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,TRUE
159,Moltres,Fire,Flying,90,100,90,125,85,90,1,TRUE
160,Dratini,Dragon,,41,64,45,50,50,50,1,FALSE
161,Dragonair,Dragon,,61,84,65,70,70,70,1,FALSE
162,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,FALSE
163,Mewtwo,Psychic,,106,110,90,154,90,130,1,TRUE
164,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,TRUE
165,Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,TRUE
166,Mew,Psychic,,100,100,100,100,100,100,1,FALSE
167,Chikorita,Grass,,45,49,65,49,65,45,2,FALSE
168,Bayleef,Grass,,60,62,80,63,80,60,2,FALSE
169,Meganium,Grass,,80,82,100,83,100,80,2,FALSE
170,Cyndaquil,Fire,,39,52,43,60,50,65,2,FALSE
171,Quilava,Fire,,58,64,58,80,65,80,2,FALSE
172,Typhlosion,Fire,,78,84,78,109,85,100,2,FALSE
173,Totodile,Water,,50,65,64,44,48,43,2,FALSE
174,Croconaw,Water,,65,80,80,59,63,58,2,FALSE
175,Feraligatr,Water,,85,105,100,79,83,78,2,FALSE
176,Sentret,Normal,,35,46,34,35,45,20,2,FALSE
177,Furret,Normal,,85,76,64,45,55,90,2,FALSE
178,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,FALSE
179,Noctowl,Normal,Flying,100,50,50,76,96,70,2,FALSE
180,Ledyba,Bug,Flying,40,20,30,40,80,55,2,FALSE
181,Ledian,Bug,Flying,55,35,50,55,110,85,2,FALSE
182,Spinarak,Bug,Poison,40,60,40,40,40,30,2,FALSE
183,Ariados,Bug,Poison,70,90,70,60,60,40,2,FALSE
184,Crobat,Poison,Flying,85,90,80,70,80,130,2,FALSE
185,Chinchou,Water,Electric,75,38,38,56,56,67,2,FALSE
186,Lanturn,Water,Electric,125,58,58,76,76,67,2,FALSE
187,Pichu,Electric,,20,40,15,35,35,60,2,FALSE
188,Cleffa,Fairy,,50,25,28,45,55,15,2,FALSE
189,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,FALSE
190,Togepi,Fairy,,35,20,65,40,65,20,2,FALSE
191,Togetic,Fairy,Flying,55,40,85,80,105,40,2,FALSE
192,Natu,Psychic,Flying,40,50,45,70,45,70,2,FALSE
193,Xatu,Psychic,Flying,65,75,70,95,70,95,2,FALSE
194,Mareep,Electric,,55,40,40,65,45,35,2,FALSE
195,Flaaffy,Electric,,70,55,55,80,60,45,2,FALSE
196,Ampharos,Electric,,90,75,85,115,90,55,2,FALSE
197,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,FALSE
198,Bellossom,Grass,,75,80,95,90,100,50,2,FALSE
199,Marill,Water,Fairy,70,20,50,20,50,40,2,FALSE
200,Azumarill,Water,Fairy,100,50,80,60,80,50,2,FALSE
201,Sudowoodo,Rock,,70,100,115,30,65,30,2,FALSE
202,Politoed,Water,,90,75,75,90,100,70,2,FALSE
203,Hoppip,Grass,Flying,35,35,40,35,55,50,2,FALSE
204,Skiploom,Grass,Flying,55,45,50,45,65,80,2,FALSE
205,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,FALSE
206,Aipom,Normal,,55,70,55,40,55,85,2,FALSE
207,Sunkern,Grass,,30,30,30,30,30,30,2,FALSE
208,Sunflora,Grass,,75,75,55,105,85,30,2,FALSE
209,Yanma,Bug,Flying,65,65,45,75,45,95,2,FALSE
210,Wooper,Water,Ground,55,45,45,25,25,15,2,FALSE
211,Quagsire,Water,Ground,95,85,85,65,65,35,2,FALSE
212,Espeon,Psychic,,65,65,60,130,95,110,2,FALSE
213,Umbreon,Dark,,95,65,110,60,130,65,2,FALSE
214,Murkrow,Dark,Flying,60,85,42,85,42,91,2,FALSE
215,Slowking,Water,Psychic,95,75,80,100,110,30,2,FALSE
216,Misdreavus,Ghost,,60,60,60,85,85,85,2,FALSE
217,Unown,Psychic,,48,72,48,72,48,48,2,FALSE
218,Wobbuffet,Psychic,,190,33,58,33,58,33,2,FALSE
219,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,FALSE
220,Pineco,Bug,,50,65,90,35,35,15,2,FALSE
221,Forretress,Bug,Steel,75,90,140,60,60,40,2,FALSE
222,Dunsparce,Normal,,100,70,70,65,65,45,2,FALSE
223,Gligar,Ground,Flying,65,75,105,35,65,85,2,FALSE
224,Steelix,Steel,Ground,75,85,200,55,65,30,2,FALSE
225,Mega Steelix,Steel,Ground,75,125,230,55,95,30,2,FALSE
226,Snubbull,Fairy,,60,80,50,40,40,30,2,FALSE
227,Granbull,Fairy,,90,120,75,60,60,45,2,FALSE
228,Qwilfish,Water,Poison,65,95,75,55,55,85,2,FALSE
229,Scizor,Bug,Steel,70,130,100,55,80,65,2,FALSE
230,Mega Scizor,Bug,Steel,70,150,140,65,100,75,2,FALSE
231,Shuckle,Bug,Rock,20,10,230,10,230,5,2,FALSE
232,Heracross,Bug,Fighting,80,125,75,40,95,85,2,FALSE
233,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,2,FALSE
234,Sneasel,Dark,Ice,55,95,55,35,75,115,2,FALSE
235,Teddiursa,Normal,,60,80,50,50,50,40,2,FALSE
236,Ursaring,Normal,,90,130,75,75,75,55,2,FALSE
237,Slugma,Fire,,40,40,40,70,40,20,2,FALSE
238,Magcargo,Fire,Rock,50,50,120,80,80,30,2,FALSE
239,Swinub,Ice,Ground,50,50,40,30,30,50,2,FALSE
240,Piloswine,Ice,Ground,100,100,80,60,60,50,2,FALSE
241,Corsola,Water,Rock,55,55,85,65,85,35,2,FALSE
242,Remoraid,Water,,35,65,35,65,35,65,2,FALSE
243,Octillery,Water,,75,105,75,105,75,45,2,FALSE
244,Delibird,Ice,Flying,45,55,45,65,45,75,2,FALSE
245,Mantine,Water,Flying,65,40,70,80,140,70,2,FALSE
246,Skarmory,Steel,Flying,65,80,140,40,70,70,2,FALSE
247,Houndour,Dark,Fire,45,60,30,80,50,65,2,FALSE
248,Houndoom,Dark,Fire,75,90,50,110,80,95,2,FALSE
249,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,2,FALSE
250,Kingdra,Water,Dragon,75,95,95,95,95,85,2,FALSE
251,Phanpy,Ground,,90,60,60,40,40,40,2,FALSE
252,Donphan,Ground,,90,120,120,60,60,50,2,FALSE
253,Porygon2,Normal,,85,80,90,105,95,60,2,FALSE
254,Stantler,Normal,,73,95,62,85,65,85,2,FALSE
255,Smeargle,Normal,,55,20,35,20,45,75,2,FALSE
256,Tyrogue,Fighting,,35,35,35,35,35,35,2,FALSE
257,Hitmontop,Fighting,,50,95,95,35,110,70,2,FALSE
258,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,FALSE
259,Elekid,Electric,,45,63,37,65,55,95,2,FALSE
260,Magby,Fire,,45,75,37,70,55,83,2,FALSE
261,Miltank,Normal,,95,80,105,40,70,100,2,FALSE
262,Blissey,Normal,,255,10,10,75,135,55,2,FALSE
263,Raikou,Electric,,90,85,75,115,100,115,2,TRUE
264,Entei,Fire,,115,115,85,90,75,100,2,TRUE
265,Suicune,Water,,100,75,115,90,115,85,2,TRUE
266,Larvitar,Rock,Ground,50,64,50,45,50,41,2,FALSE
267,Pupitar,Rock,Ground,70,84,70,65,70,51,2,FALSE
268,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,FALSE
269,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,FALSE
270,Lugia,Psychic,Flying,106,90,130,90,154,110,2,TRUE
271,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,TRUE
272,Celebi,Psychic,Grass,100,100,100,100,100,100,2,FALSE
273,Treecko,Grass,,40,45,35,65,55,70,3,FALSE
274,Grovyle,Grass,,50,65,45,85,65,95,3,FALSE
275,Sceptile,Grass,,70,85,65,105,85,120,3,FALSE
276,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,3,FALSE
277,Torchic,Fire,,45,60,40,70,50,45,3,FALSE
278,Combusken,Fire,Fighting,60,85,60,85,60,55,3,FALSE
279,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,FALSE
280,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,FALSE
281,Mudkip,Water,,50,70,50,50,50,40,3,FALSE
282,Marshtomp,Water,Ground,70,85,70,60,70,50,3,FALSE
283,Swampert,Water,Ground,100,110,90,85,90,60,3,FALSE
284,Mega Swampert,Water,Ground,100,150,110,95,110,70,3,FALSE
285,Poochyena,Dark,,35,55,35,30,30,35,3,FALSE
286,Mightyena,Dark,,70,90,70,60,60,70,3,FALSE
287,Zigzagoon,Normal,,38,30,41,30,41,60,3,FALSE
288,Linoone,Normal,,78,70,61,50,61,100,3,FALSE
289,Wurmple,Bug,,45,45,35,20,30,20,3,FALSE
290,Silcoon,Bug,,50,35,55,25,25,15,3,FALSE
291,Beautifly,Bug,Flying,60,70,50,100,50,65,3,FALSE
292,Cascoon,Bug,,50,35,55,25,25,15,3,FALSE
293,Dustox,Bug,Poison,60,50,70,50,90,65,3,FALSE
294,Lotad,Water,Grass,40,30,30,40,50,30,3,FALSE
295,Lombre,Water,Grass,60,50,50,60,70,50,3,FALSE
296,Ludicolo,Water,Grass,80,70,70,90,100,70,3,FALSE
297,Seedot,Grass,,40,40,50,30,30,30,3,FALSE
298,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,FALSE
299,Shiftry,Grass,Dark,90,100,60,90,60,80,3,FALSE
300,Taillow,Normal,Flying,40,55,30,30,30,85,3,FALSE
301,Swellow,Normal,Flying,60,85,60,50,50,125,3,FALSE
302,Wingull,Water,Flying,40,30,30,55,30,85,3,FALSE
303,Pelipper,Water,Flying,60,50,100,85,70,65,3,FALSE
304,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,FALSE
305,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,FALSE
306,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,FALSE
307,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,3,FALSE
308,Surskit,Bug,Water,40,30,32,50,52,65,3,FALSE
309,Masquerain,Bug,Flying,70,60,62,80,82,60,3,FALSE
310,Shroomish,Grass,,60,40,60,40,60,35,3,FALSE
311,Breloom,Grass,Fighting,60,130,80,60,60,70,3,FALSE
312,Slakoth,Normal,,60,60,60,35,35,30,3,FALSE
313,Vigoroth,Normal,,80,80,80,55,55,90,3,FALSE
314,Slaking,Normal,,150,160,100,95,65,100,3,FALSE
315,Nincada,Bug,Ground,31,45,90,30,30,40,3,FALSE
316,Ninjask,Bug,Flying,61,90,45,50,50,160,3,FALSE
317,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,FALSE
318,Whismur,Normal,,64,51,23,51,23,28,3,FALSE
319,Loudred,Normal,,84,71,43,71,43,48,3,FALSE
320,Exploud,Normal,,104,91,63,91,73,68,3,FALSE
321,Makuhita,Fighting,,72,60,30,20,30,25,3,FALSE
322,Hariyama,Fighting,,144,120,60,40,60,50,3,FALSE
323,Azurill,Normal,Fairy,50,20,40,20,40,20,3,FALSE
324,Nosepass,Rock,,30,45,135,45,90,30,3,FALSE
325,Skitty,Normal,,50,45,45,35,35,50,3,FALSE
326,Delcatty,Normal,,70,65,65,55,55,70,3,FALSE
327,Sableye,Dark,Ghost,50,75,75,65,65,50,3,FALSE
328,Mega Sableye,Dark,Ghost,50,85,125,85,115,20,3,FALSE
329,Mawile,Steel,Fairy,50,85,85,55,55,50,3,FALSE
330,Mega Mawile,Steel,Fairy,50,105,125,55,95,50,3,FALSE
331,Aron,Steel,Rock,50,70,100,40,40,30,3,FALSE
332,Lairon,Steel,Rock,60,90,140,50,50,40,3,FALSE
333,Aggron,Steel,Rock,70,110,180,60,60,50,3,FALSE
334,Mega Aggron,Steel,,70,140,230,60,80,50,3,FALSE
335,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,FALSE
336,Medicham,Fighting,Psychic,60,60,75,60,75,80,3,FALSE
337,Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,3,FALSE
338,Electrike,Electric,,40,45,40,65,40,65,3,FALSE
339,Manectric,Electric,,70,75,60,105,60,105,3,FALSE
340,Mega Manectric,Electric,,70,75,80,135,80,135,3,FALSE
341,Plusle,Electric,,60,50,40,85,75,95,3,FALSE
342,Minun,Electric,,60,40,50,75,85,95,3,FALSE
343,Volbeat,Bug,,65,73,55,47,75,85,3,FALSE
344,Illumise,Bug,,65,47,55,73,75,85,3,FALSE
345,Roselia,Grass,Poison,50,60,45,100,80,65,3,FALSE
346,Gulpin,Poison,,70,43,53,43,53,40,3,FALSE
347,Swalot,Poison,,100,73,83,73,83,55,3,FALSE
348,Carvanha,Water,Dark,45,90,20,65,20,65,3,FALSE
349,Sharpedo,Water,Dark,70,120,40,95,40,95,3,FALSE
350,Mega Sharpedo,Water,Dark,70,140,70,110,65,105,3,FALSE
351,Wailmer,Water,,130,70,35,70,35,60,3,FALSE
352,Wailord,Water,,170,90,45,90,45,60,3,FALSE
353,Numel,Fire,Ground,60,60,40,65,45,35,3,FALSE
354,Camerupt,Fire,Ground,70,100,70,105,75,40,3,FALSE
355,Mega Camerupt,Fire,Ground,70,120,100,145,105,20,3,FALSE
356,Torkoal,Fire,,70,85,140,85,70,20,3,FALSE
357,Spoink,Psychic,,60,25,35,70,80,60,3,FALSE
358,Grumpig,Psychic,,80,45,65,90,110,80,3,FALSE
359,Spinda,Normal,,60,60,60,60,60,60,3,FALSE
360,Trapinch,Ground,,45,100,45,45,45,10,3,FALSE
361,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,FALSE
362,Flygon,Ground,Dragon,80,100,80,80,80,100,3,FALSE
363,Cacnea,Grass,,50,85,40,85,40,35,3,FALSE
364,Cacturne,Grass,Dark,70,115,60,115,60,55,3,FALSE
365,Swablu,Normal,Flying,45,40,60,40,75,50,3,FALSE
366,Altaria,Dragon,Flying,75,70,90,70,105,80,3,FALSE
367,Mega Altaria,Dragon,Fairy,75,110,110,110,105,80,3,FALSE
368,Zangoose,Normal,,73,115,60,60,60,90,3,FALSE
369,Seviper,Poison,,73,100,60,100,60,65,3,FALSE
370,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,FALSE
371,Solrock,Rock,Psychic,70,95,85,55,65,70,3,FALSE
372,Barboach,Water,Ground,50,48,43,46,41,60,3,FALSE
373,Whiscash,Water,Ground,110,78,73,76,71,60,3,FALSE
374,Corphish,Water,,43,80,65,50,35,35,3,FALSE
375,Crawdaunt,Water,Dark,63,120,85,90,55,55,3,FALSE
376,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,FALSE
377,Claydol,Ground,Psychic,60,70,105,70,120,75,3,FALSE
378,Lileep,Rock,Grass,66,41,77,61,87,23,3,FALSE
379,Cradily,Rock,Grass,86,81,97,81,107,43,3,FALSE
380,Anorith,Rock,Bug,45,95,50,40,50,75,3,FALSE
381,Armaldo,Rock,Bug,75,125,100,70,80,45,3,FALSE
382,Feebas,Water,,20,15,20,10,55,80,3,FALSE
383,Milotic,Water,,95,60,79,100,125,81,3,FALSE
384,Castform,Normal,,70,70,70,70,70,70,3,FALSE
385,Kecleon,Normal,,60,90,70,60,120,40,3,FALSE
386,Shuppet,Ghost,,44,75,35,63,33,45,3,FALSE
387,Banette,Ghost,,64,115,65,83,63,65,3,FALSE
388,Mega Banette,Ghost,,64,165,75,93,83,75,3,FALSE
389,Duskull,Ghost,,20,40,90,30,90,25,3,FALSE
390,Dusclops,Ghost,,40,70,130,60,130,25,3,FALSE
391,Tropius,Grass,Flying,99,68,83,72,87,51,3,FALSE
392,Chimecho,Psychic,,65,50,70,95,80,65,3,FALSE
393,Absol,Dark,,65,130,60,75,60,75,3,FALSE
394,Mega Absol,Dark,,65,150,60,115,60,115,3,FALSE
395,Wynaut,Psychic,,95,23,48,23,48,23,3,FALSE
396,Snorunt,Ice,,50,50,50,50,50,50,3,FALSE
397,Glalie,Ice,,80,80,80,80,80,80,3,FALSE
398,Mega Glalie,Ice,,80,120,80,120,80,100,3,FALSE
399,Spheal,Ice,Water,70,40,50,55,50,25,3,FALSE
400,Sealeo,Ice,Water,90,60,70,75,70,45,3,FALSE
401,Walrein,Ice,Water,110,80,90,95,90,65,3,FALSE
402,Clamperl,Water,,35,64,85,74,55,32,3,FALSE
403,Huntail,Water,,55,104,105,94,75,52,3,FALSE
404,Gorebyss,Water,,55,84,105,114,75,52,3,FALSE
405,Relicanth,Water,Rock,100,90,130,45,65,55,3,FALSE
406,Luvdisc,Water,,43,30,55,40,65,97,3,FALSE
407,Bagon,Dragon,,45,75,60,40,30,50,3,FALSE
408,Shelgon,Dragon,,65,95,100,60,50,50,3,FALSE
409,Salamence,Dragon,Flying,95,135,80,110,80,100,3,FALSE
410,Mega Salamence,Dragon,Flying,95,145,130,120,90,120,3,FALSE
411,Beldum,Steel,Psychic,40,55,80,35,60,30,3,FALSE
412,Metang,Steel,Psychic,60,75,100,55,80,50,3,FALSE
413,Metagross,Steel,Psychic,80,135,130,95,90,70,3,FALSE
414,Mega Metagross,Steel,Psychic,80,145,150,105,110,110,3,FALSE
